date,product,category,units_sold,unit_price,region,sales_rep
2023-01-01,Laptop Pro X,Electronics,3,81235,East,Arjun
2023-01-04,Notebook Pack,Office,1,259,North,Amit
2023-01-05,USB Hub,Electronics,2,959,Central,Rohit
2023-01-05,Notebook Pack,Office,2,277,West,Sneha
2023-01-07,Headphones Pro,Electronics,1,8197,West,Karan
2023-01-08,Mechanical Keyboard,Electronics,2,4209,North,Amit
2023-01-08,Filing Cabinet,Furniture,1,6504,Central,Anjali
2023-01-08,Printer A4,Office,2,19362,Central,Rohit
2023-01-10,Notebook Pack,Office,1,283,East,Meena
2023-01-13,Laptop Air,Electronics,1,66813,South,Divya
2023-01-14,Desk Lamp,Furniture,3,2145,East,Meena
2023-01-16,Filing Cabinet,Furniture,1,6368,East,Arjun
2023-01-16,Wireless Mouse,Electronics,1,1508,Central,Rohit
2023-01-17,Printer A4,Office,2,19409,West,Karan
2023-01-17,Notebook Pack,Office,2,295,South,Divya
2023-01-18,Laptop Air,Electronics,3,59695,East,Meena
2023-01-18,Webcam HD,Electronics,1,3052,Central,Anjali
2023-01-20,Printer A4,Office,1,16962,South,Divya
2023-01-20,Notebook Pack,Office,2,291,Central,Anjali
2023-01-20,Whiteboard,Office,1,4400,Central,Anjali
2023-01-20,Monitor 4K,Electronics,2,26167,Central,Anjali
2023-01-21,Monitor 4K,Electronics,3,28431,South,Divya
2023-01-23,Calculator,Office,1,1290,West,Karan
2023-01-23,Laptop Pro X,Electronics,2,88652,North,Amit
2023-01-23,Bookshelf,Furniture,2,8411,North,Amit
2023-01-23,Printer A4,Office,2,19359,North,Amit
2023-01-24,Mechanical Keyboard,Electronics,4,4250,East,Arjun
2023-01-24,Headphones Pro,Electronics,1,8634,Central,Rohit
2023-01-24,Paper Ream,Office,1,480,North,Priya
2023-01-24,Standing Desk,Furniture,3,33548,South,Ravi
2023-01-24,Stapler,Office,2,674,North,Priya
2023-01-25,Monitor 4K,Electronics,1,30001,South,Divya
2023-01-25,Headphones Pro,Electronics,6,9131,East,Meena
2023-01-25,Notebook Pack,Office,2,275,South,Divya
2023-01-25,Filing Cabinet,Furniture,3,5824,West,Karan
2023-01-25,USB Hub,Electronics,1,877,North,Amit
2023-01-28,Stapler,Office,1,605,South,Ravi
2023-01-28,Laptop Air,Electronics,3,66021,South,Ravi
2023-01-30,Pen Set,Office,2,359,South,Divya
2023-01-31,Monitor 4K,Electronics,1,26848,Central,Anjali
2023-01-31,Paper Ream,Office,1,420,West,Sneha
2023-01-31,Whiteboard,Office,2,4435,East,Meena
2023-01-31,Laptop Air,Electronics,4,61034,North,Priya
2023-01-31,Bookshelf,Furniture,4,8080,North,Priya
2023-02-03,Monitor 4K,Electronics,2,27007,West,Sneha
2023-02-03,USB Hub,Electronics,1,996,North,Amit
2023-02-03,Notebook Pack,Office,2,286,North,Priya
2023-02-03,Notebook Pack,Office,2,299,North,Priya
2023-02-04,Whiteboard,Office,1,4293,West,Karan
2023-02-04,Desk Lamp,Furniture,4,2059,North,Priya
2023-02-06,Printer A4,Office,1,18566,East,Meena
2023-02-06,Notebook Pack,Office,3,266,West,Sneha
2023-02-06,Webcam HD,Electronics,3,3326,North,Priya
2023-02-07,Stapler,Office,2,603,West,Sneha
2023-02-10,Headphones Pro,Electronics,1,8738,North,Priya
2023-02-11,Mechanical Keyboard,Electronics,2,4556,Central,Rohit
2023-02-11,Laptop Air,Electronics,1,61198,Central,Rohit
2023-02-11,Stapler,Office,4,695,Central,Anjali
2023-02-11,Webcam HD,Electronics,1,3079,East,Arjun
2023-02-12,Printer A4,Office,4,16586,East,Arjun
2023-02-12,Calculator,Office,2,1118,Central,Rohit
2023-02-12,Webcam HD,Electronics,1,3011,Central,Anjali
2023-02-14,USB Hub,Electronics,4,897,East,Meena
2023-02-17,Calculator,Office,1,1232,Central,Rohit
2023-02-17,Notebook Pack,Office,4,299,East,Arjun
2023-02-17,Monitor 4K,Electronics,1,29745,East,Arjun
2023-02-20,Monitor 4K,Electronics,3,28469,East,Meena
2023-02-20,Bookshelf,Furniture,2,8507,South,Divya
2023-02-20,Office Chair,Furniture,4,12257,North,Priya
2023-02-20,Office Chair,Furniture,6,11680,North,Priya
2023-02-20,Monitor 4K,Electronics,3,29080,East,Arjun
2023-02-23,Notebook Pack,Office,1,260,North,Priya
2023-02-23,Monitor 4K,Electronics,2,29498,Central,Rohit
2023-02-23,Stapler,Office,1,642,Central,Rohit
2023-02-23,Laptop Air,Electronics,1,65957,East,Meena
2023-02-24,Webcam HD,Electronics,1,3125,South,Ravi
2023-02-24,Notebook Pack,Office,2,299,West,Sneha
2023-02-24,USB Hub,Electronics,1,1007,South,Ravi
2023-02-25,Bookshelf,Furniture,4,8182,West,Sneha
2023-02-25,Mechanical Keyboard,Electronics,2,4758,West,Sneha
2023-02-26,Printer A4,Office,1,18923,East,Meena
2023-02-26,USB Hub,Electronics,3,974,South,Ravi
2023-02-28,Office Chair,Furniture,1,11714,North,Amit
2023-02-28,Pen Set,Office,4,374,West,Karan
2023-02-28,Mechanical Keyboard,Electronics,2,4558,East,Arjun
2023-03-02,Mechanical Keyboard,Electronics,1,4388,Central,Anjali
2023-03-04,Calculator,Office,1,1177,Central,Rohit
2023-03-04,Stapler,Office,1,602,South,Divya
2023-03-04,Whiteboard,Office,2,4402,North,Priya
2023-03-04,Wireless Mouse,Electronics,2,1539,East,Meena
2023-03-05,Pen Set,Office,3,340,East,Meena
2023-03-05,Standing Desk,Furniture,5,33274,Central,Rohit
2023-03-05,Desk Lamp,Furniture,1,2068,South,Divya
2023-03-06,Standing Desk,Furniture,1,36600,South,Divya
2023-03-06,Calculator,Office,4,1188,East,Meena
2023-03-06,Webcam HD,Electronics,6,3350,Central,Anjali
2023-03-09,Wireless Mouse,Electronics,1,1402,East,Meena
2023-03-09,USB Hub,Electronics,1,996,East,Arjun
2023-03-10,Laptop Air,Electronics,2,63103,South,Divya
2023-03-11,Whiteboard,Office,1,4657,Central,Rohit
2023-03-11,Desk Lamp,Furniture,2,2013,West,Karan
2023-03-11,Laptop Pro X,Electronics,7,81176,North,Amit
2023-03-11,Pen Set,Office,5,353,West,Sneha
2023-03-12,Monitor 4K,Electronics,6,30016,West,Karan
2023-03-12,Printer A4,Office,4,18952,Central,Anjali
2023-03-12,Notebook Pack,Office,1,290,West,Sneha
2023-03-12,Paper Ream,Office,1,468,West,Karan
2023-03-15,Pen Set,Office,4,337,West,Sneha
2023-03-15,Wireless Mouse,Electronics,6,1445,East,Arjun
2023-03-15,Bookshelf,Furniture,1,8008,Central,Rohit
2023-03-16,Monitor 4K,Electronics,4,27618,South,Ravi
2023-03-16,Bookshelf,Furniture,3,8385,Central,Anjali
2023-03-16,Webcam HD,Electronics,2,3407,West,Karan
2023-03-16,Stapler,Office,1,647,North,Amit
2023-03-18,Desk Lamp,Furniture,2,2096,West,Sneha
2023-03-18,Office Chair,Furniture,6,11095,West,Karan
2023-03-18,Bookshelf,Furniture,4,8963,West,Sneha
2023-03-19,Notebook Pack,Office,1,284,North,Amit
2023-03-19,Laptop Pro X,Electronics,1,80045,North,Amit
2023-03-19,Printer A4,Office,1,17309,South,Ravi
2023-03-19,Bookshelf,Furniture,5,8264,South,Divya
2023-03-19,Desk Lamp,Furniture,3,2016,East,Meena
2023-03-20,Laptop Pro X,Electronics,1,91798,Central,Rohit
2023-03-20,Filing Cabinet,Furniture,3,6478,South,Ravi
2023-03-20,Laptop Air,Electronics,7,59017,North,Priya
2023-03-20,Laptop Pro X,Electronics,2,81444,Central,Rohit
2023-03-22,Stapler,Office,4,670,South,Divya
2023-03-24,Calculator,Office,1,1253,Central,Rohit
2023-03-24,Headphones Pro,Electronics,1,8607,East,Arjun
2023-03-26,Desk Lamp,Furniture,7,1957,West,Sneha
2023-03-26,USB Hub,Electronics,9,1003,North,Amit
2023-03-26,Calculator,Office,1,1170,North,Priya
2023-03-26,Whiteboard,Office,2,4504,East,Arjun
2023-03-26,Bookshelf,Furniture,6,8938,North,Amit
2023-03-27,Filing Cabinet,Furniture,1,6136,West,Sneha
2023-03-27,Pen Set,Office,8,348,East,Meena
2023-03-27,Stapler,Office,2,686,East,Meena
2023-03-27,Wireless Mouse,Electronics,3,1438,East,Meena
2023-03-29,Calculator,Office,5,1109,West,Karan
2023-03-29,Bookshelf,Furniture,2,8108,South,Divya
2023-03-29,Office Chair,Furniture,1,12730,East,Meena
2023-03-29,Office Chair,Furniture,4,12031,Central,Rohit
2023-03-29,Webcam HD,Electronics,1,3312,North,Priya
2023-03-31,USB Hub,Electronics,3,942,West,Karan
2023-03-31,Laptop Pro X,Electronics,6,81213,North,Amit
2023-03-31,USB Hub,Electronics,6,945,East,Meena
2023-03-31,Pen Set,Office,3,377,East,Meena
2023-03-31,Notebook Pack,Office,1,289,East,Meena
2023-04-02,Office Chair,Furniture,1,12424,South,Ravi
2023-04-02,Bookshelf,Furniture,1,8080,North,Priya
2023-04-02,Paper Ream,Office,1,484,East,Meena
2023-04-03,USB Hub,Electronics,3,919,East,Arjun
2023-04-03,Notebook Pack,Office,1,259,South,Divya
2023-04-03,Laptop Air,Electronics,1,63958,Central,Anjali
2023-04-04,Mechanical Keyboard,Electronics,1,4477,North,Amit
2023-04-04,Printer A4,Office,1,19340,East,Arjun
2023-04-04,Office Chair,Furniture,3,12618,West,Sneha
2023-04-04,Desk Lamp,Furniture,2,2125,West,Sneha
2023-04-07,Monitor 4K,Electronics,2,26141,South,Divya
2023-04-08,Notebook Pack,Office,2,292,West,Sneha
2023-04-10,Printer A4,Office,1,17439,East,Meena
2023-04-10,Calculator,Office,3,1285,North,Priya
2023-04-10,Webcam HD,Electronics,4,3282,South,Divya
2023-04-10,Headphones Pro,Electronics,1,8570,South,Ravi
2023-04-11,Whiteboard,Office,1,4349,West,Karan
2023-04-12,Standing Desk,Furniture,1,36049,West,Sneha
2023-04-12,Office Chair,Furniture,2,11856,Central,Rohit
2023-04-12,Notebook Pack,Office,2,298,South,Ravi
2023-04-13,Laptop Air,Electronics,2,62942,South,Divya
2023-04-16,Printer A4,Office,3,18543,North,Amit
2023-04-16,Desk Lamp,Furniture,3,2079,East,Meena
2023-04-16,Calculator,Office,3,1245,North,Amit
2023-04-19,Laptop Pro X,Electronics,1,91281,North,Priya
2023-04-19,Stapler,Office,1,701,Central,Rohit
2023-04-19,Office Chair,Furniture,1,12505,Central,Rohit
2023-04-20,Pen Set,Office,1,332,West,Karan
2023-04-20,Stapler,Office,1,698,West,Karan
2023-04-20,Paper Ream,Office,4,437,East,Meena
2023-04-20,Mechanical Keyboard,Electronics,6,4436,South,Divya
2023-04-22,Desk Lamp,Furniture,2,2084,Central,Rohit
2023-04-22,Bookshelf,Furniture,2,7977,East,Meena
2023-04-22,Desk Lamp,Furniture,3,2152,Central,Rohit
2023-04-25,Whiteboard,Office,1,4513,North,Priya
2023-04-25,Calculator,Office,1,1249,West,Karan
2023-04-25,Webcam HD,Electronics,2,3418,East,Arjun
2023-04-25,Printer A4,Office,4,16643,West,Sneha
2023-04-28,USB Hub,Electronics,6,957,South,Divya
2023-04-28,Notebook Pack,Office,2,267,West,Sneha
2023-04-28,Mechanical Keyboard,Electronics,4,4606,West,Sneha
2023-04-28,Monitor 4K,Electronics,1,28039,West,Karan
2023-04-28,Office Chair,Furniture,3,12922,West,Karan
2023-04-29,Notebook Pack,Office,3,266,South,Divya
2023-04-29,Calculator,Office,2,1269,Central,Rohit
2023-04-29,Office Chair,Furniture,3,12833,West,Karan
2023-04-29,Pen Set,Office,2,337,East,Arjun
2023-05-01,Stapler,Office,2,644,West,Sneha
2023-05-01,Paper Ream,Office,4,453,East,Meena
2023-05-01,Notebook Pack,Office,2,299,West,Karan
2023-05-01,Webcam HD,Electronics,6,3063,South,Divya
2023-05-01,Whiteboard,Office,1,4676,North,Amit
2023-05-04,Desk Lamp,Furniture,2,2256,South,Divya
2023-05-04,Monitor 4K,Electronics,6,29656,Central,Anjali
2023-05-04,Printer A4,Office,2,16604,North,Amit
2023-05-04,Monitor 4K,Electronics,3,26095,West,Sneha
2023-05-06,Calculator,Office,2,1267,West,Sneha
2023-05-06,Notebook Pack,Office,5,285,West,Karan
2023-05-06,Paper Ream,Office,5,458,Central,Rohit
2023-05-07,USB Hub,Electronics,3,1022,North,Amit
2023-05-07,Mechanical Keyboard,Electronics,6,4639,West,Sneha
2023-05-07,Laptop Pro X,Electronics,2,89027,North,Amit
2023-05-09,Filing Cabinet,Furniture,4,5946,West,Sneha
2023-05-09,Whiteboard,Office,2,4262,Central,Rohit
2023-05-09,Wireless Mouse,Electronics,2,1528,Central,Anjali
2023-05-10,Stapler,Office,3,645,South,Ravi
2023-05-10,Office Chair,Furniture,1,12320,West,Karan
2023-05-10,Printer A4,Office,2,16772,East,Arjun
2023-05-10,Filing Cabinet,Furniture,1,6337,Central,Anjali
2023-05-12,Printer A4,Office,2,19438,East,Arjun
2023-05-12,Paper Ream,Office,2,441,North,Priya
2023-05-12,Filing Cabinet,Furniture,1,6688,Central,Anjali
2023-05-14,Desk Lamp,Furniture,2,2122,East,Arjun
2023-05-17,Calculator,Office,3,1252,West,Karan
2023-05-18,Filing Cabinet,Furniture,2,6319,South,Ravi
2023-05-18,Monitor 4K,Electronics,6,27144,North,Priya
2023-05-18,Printer A4,Office,1,18669,North,Amit
2023-05-18,Wireless Mouse,Electronics,3,1559,East,Meena
2023-05-18,Headphones Pro,Electronics,2,8889,South,Ravi
2023-05-20,Pen Set,Office,1,336,East,Arjun
2023-05-20,Paper Ream,Office,1,471,East,Meena
2023-05-20,Printer A4,Office,1,18731,North,Priya
2023-05-20,USB Hub,Electronics,4,887,West,Karan
2023-05-20,Desk Lamp,Furniture,2,2112,North,Amit
2023-05-22,Office Chair,Furniture,1,12619,Central,Anjali
2023-05-22,Filing Cabinet,Furniture,1,6171,North,Priya
2023-05-22,Calculator,Office,1,1279,Central,Anjali
2023-05-23,Printer A4,Office,1,16896,East,Meena
2023-05-24,Standing Desk,Furniture,4,32744,West,Sneha
2023-05-27,Desk Lamp,Furniture,3,2157,West,Karan
2023-05-27,Notebook Pack,Office,4,297,West,Sneha
2023-05-30,Paper Ream,Office,4,481,Central,Anjali
2023-06-01,Filing Cabinet,Furniture,3,6145,South,Divya
2023-06-02,Mechanical Keyboard,Electronics,5,4183,East,Meena
2023-06-02,Office Chair,Furniture,1,12862,South,Ravi
2023-06-02,Printer A4,Office,3,18408,North,Priya
2023-06-05,Laptop Air,Electronics,5,66849,East,Arjun
2023-06-08,Wireless Mouse,Electronics,5,1520,Central,Rohit
2023-06-08,USB Hub,Electronics,4,993,East,Arjun
2023-06-11,Office Chair,Furniture,2,12077,South,Ravi
2023-06-12,Laptop Pro X,Electronics,2,83072,South,Ravi
2023-06-13,Bookshelf,Furniture,3,8180,North,Priya
2023-06-13,Monitor 4K,Electronics,4,29100,West,Sneha
2023-06-13,Paper Ream,Office,4,450,West,Karan
2023-06-13,Mechanical Keyboard,Electronics,1,4820,West,Sneha
2023-06-13,Laptop Air,Electronics,2,61583,Central,Anjali
2023-06-14,Paper Ream,Office,4,463,West,Karan
2023-06-16,Wireless Mouse,Electronics,2,1525,North,Amit
2023-06-16,Wireless Mouse,Electronics,5,1529,South,Divya
2023-06-16,Stapler,Office,3,637,Central,Anjali
2023-06-16,Calculator,Office,2,1191,Central,Anjali
2023-06-19,Mechanical Keyboard,Electronics,4,4449,North,Priya
2023-06-19,USB Hub,Electronics,9,999,West,Karan
2023-06-19,Desk Lamp,Furniture,3,2037,West,Sneha
2023-06-19,Bookshelf,Furniture,5,9116,East,Meena
2023-06-22,Wireless Mouse,Electronics,11,1402,North,Priya
2023-06-22,Mechanical Keyboard,Electronics,1,4540,East,Arjun
2023-06-22,Stapler,Office,2,667,Central,Anjali
2023-06-22,Whiteboard,Office,2,4765,East,Meena
2023-06-25,Standing Desk,Furniture,1,34169,Central,Anjali
2023-06-28,Webcam HD,Electronics,4,3058,South,Divya
2023-06-28,Mechanical Keyboard,Electronics,5,4222,East,Meena
2023-06-28,Office Chair,Furniture,1,12589,Central,Rohit
